この目次は別シートからのコピーです！					
編集・追加の際は元シートのご参照をどうぞ					
https://docs.google.com/spreadsheets/d/1uOPWwFZ4UQ51bAklqYyXxSA1Nj8O4Rx70xH0sYqGYl4/edit?usp=sharing					
					
					
					
一人でも自テーマ使いが増えたらいいよね！！！！！				↓最終更新日時（自動更新バグ直しました）ここの日付のセルを自分のプレゼンでセル参照してやればお手軽に更新日書いとけるよ	
					
	↓この列へのリンク反映は1日ぐらい時間差があります			1週間以内に\n更新されたシート	↓(更新した人が任意で記入してくれると読者が増える……かもしれない)
ダイナミスト	ダイナミスト			2023/10/28	DC20突破記念でプレゼン更新
超時空戦闘機	超時空戦闘機			2022/09/16	9/16 ちょっとだけ新制限についてコメント
超重武者	超重武者			2022/11/24	
ティアラメンツ	ティアラメンツ			2023/10/11	10/11 サンプルレシピを新制限対応に変更　一部記述の変更
帝王(0帝)	帝王(0帝)			2023/01/26	1/26 個別解説を書き換えたり画像をセル内に張り替えたり
DD	DD				8/30　追記
DD:2	DD:2			2022/10/02	9/27　ダイヤ1達成記念に構築と環境考察を追記
ディフォーマー	ディフォーマー			#N/A	9/11　とりあえず形にはしました　
ティンダングル(リバースGS)(工事中)	ティンダングル(リバースGS)(工事中)			2023/11/01	10/12 作成中
魔神儀(デビリチャル)+X	魔神儀(デビリチャル)+X			2023/03/03	
【テレホン】	【テレホン】			2023/10/11	2/25 作成
天威	天威			2023/01/30	8/1 レシピ更新、他紹介微調整など
天威相剣	天威相剣			2023/12/12	ネーサンダー来てくれたので構築新しくしました。龍淵はいい加減返せよ
天威勇者(ざっくり)	天威勇者(ざっくり)			2023/01/30	
天気	天気			2023/04/04	
電脳堺	電脳堺				
無限シラユキ(隣の芝刈りLO)	無限シラユキ(隣の芝刈りLO)			2023/05/25	10/6 デッキレシピ更新 レシピ画像をMDからニューロン版に差し替えました
トゥーン	トゥーン			2023/02/20	6/21　テラフォが死んだから更新
ドライトロン	ドライトロン			2023/09/02	弁天返して貰った後のレシピ貼っときました
ドラグマ(儀式ドラグマ)	ドラグマ(儀式ドラグマ)			2023/03/28	8/30　とりあえずつくりました
ドラグニティ	ドラグニティ			2023/01/05	11/27 仮作成
かんたんどらごんめいど（ドラメ）	かんたんどらごんめいど（ドラメ）				
ドラゴンリンク	ドラゴンリンク			2023/12/10	9/5 深淵入りドラゴンリンク載せました
トリックスター(工事中)	トリックスター(工事中)			2023/11/12	10/12 汎用札部分以外はできたと言っていいのでトリックスター部分のみ参考にするかたはぜひ
ドレミコード	ドレミコード			2022/10/06	
